match_id;matchday;kickoff_at;home_team;away_team;is_germany_game
M001;1;2026-06-11T21:00:00+02:00;Mexiko;Südafrika;0
M002;1;2026-06-12T04:00:00+02:00;Südkorea;Tschechien;0
M003;1;2026-06-12T21:00:00+02:00;Kanada;Bosnien und Herzegowina;0
M004;1;2026-06-13T03:00:00+02:00;USA;Paraguay;0
M005;1;2026-06-13T21:00:00+02:00;Katar;Schweiz;0
M006;1;2026-06-14T00:00:00+02:00;Brasilien;Marokko;0
M007;1;2026-06-14T03:00:00+02:00;Haiti;Schottland;0
M008;1;2026-06-14T06:00:00+02:00;Australien;Türkei;0
M009;1;2026-06-14T19:00:00+02:00;Deutschland;Curaçao;1
M010;1;2026-06-14T22:00:00+02:00;Niederlande;Japan;0
M011;1;2026-06-15T01:00:00+02:00;Elfenbeinküste;Ecuador;0
M012;1;2026-06-15T04:00:00+02:00;Schweden;Tunesien;0
M013;1;2026-06-15T18:00:00+02:00;Spanien;Kap Verde;0
M014;1;2026-06-15T21:00:00+02:00;Belgien;Ägypten;0
M015;1;2026-06-16T00:00:00+02:00;Saudi-Arabien;Uruguay;0
M016;1;2026-06-16T03:00:00+02:00;Iran;Neuseeland;0
M017;1;2026-06-16T21:00:00+02:00;Frankreich;Senegal;0
M018;1;2026-06-17T00:00:00+02:00;Irak;Norwegen;0
M019;1;2026-06-17T03:00:00+02:00;Argentinien;Algerien;0
M020;1;2026-06-17T06:00:00+02:00;Österreich;Jordanien;0
M021;1;2026-06-17T19:00:00+02:00;Portugal;DR Kongo;0
M022;1;2026-06-17T22:00:00+02:00;England;Kroatien;0
M023;1;2026-06-18T01:00:00+02:00;Ghana;Panama;0
M024;1;2026-06-18T04:00:00+02:00;Usbekistan;Kolumbien;0
M025;2;2026-06-18T18:00:00+02:00;Tschechien;Südafrika;0
M026;2;2026-06-18T21:00:00+02:00;Schweiz;Bosnien und Herzegowina;0
M027;2;2026-06-19T00:00:00+02:00;Kanada;Katar;0
M028;2;2026-06-19T03:00:00+02:00;Mexiko;Südkorea;0
M029;2;2026-06-19T21:00:00+02:00;USA;Australien;0
M030;2;2026-06-20T00:00:00+02:00;Schottland;Marokko;0
